,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
bobble_sort,0.0,0.0,0.0,9.982585906982425e-06,0.0,0.0,3.0016899108886717e-05,1.0001659393310544e-05,8.992433547973637e-05,0.0003900551795959,0.0014908003807067,0.0061943626403808,0.0265207719802856,0.1135799837112426,0.4476101016998291,1.7948643517494196
cyclesort,0.0,9.992122650146489e-06,9.975433349609376e-06,1.9979476928710937e-05,0.0,2.0329952239990247e-05,9.999275207519536e-06,0.0,1.9974708557128903e-05,0.0001999878883361,0.0006696367263793,0.0028097009658813,0.0111995601654052,0.0441195917129516,0.1714100217819213,0.6769448161125184
insertion_sort,0.0,0.0,0.0,2.000570297241211e-05,0.0,1.0011196136474608e-05,1.9977092742919927e-05,0.0,1.9991397857666024e-05,8.008956909179688e-05,0.0002500033378601,0.0008400416374206,0.0033912849426269,0.0135385942459106,0.05426109790802,0.2148500537872314
mergesort,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mergesort_insert,0.0,0.0,0.0,2.008914947509766e-05,0.0,0.0,1.0092258453369144e-05,4.019737243652344e-05,3.0009746551513683e-05,7.012367248535158e-05,0.0001601672172546,0.0002799654006958,0.0006100487709045,0.0013418459892272,0.0026869249343872,0.0057197642326354
numpy_sort,0.0,2.003431320190429e-05,0.0,1.0097026824951172e-05,0.0,1.999855041503908e-05,2.0084381103515624e-05,1.0008811950683591e-05,1.994371414184569e-05,5.014657974243165e-05,4.999637603759765e-05,9.005546569824221e-05,0.000180025100708,0.0002797842025756,0.000689673423767,0.0013279390335083
python_sort,0.0,9.999275207519536e-06,9.975433349609384e-06,0.0,9.999275207519536e-06,0.0,9.987354278564457e-06,9.996891021728509e-06,1.0185241699218746e-05,1.9924640655517576e-05,1.9974708557128903e-05,6.999731063842771e-05,0.0001801919937133,0.0003200554847717,0.0006204199790954,0.0013435840606689
quicksort,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
quicksortIterative,None,0.0,2.0065307617187496e-05,1.000881195068359e-05,2.0225048065185543e-05,4.000186920166013e-05,0.0,0.0,9.9945068359375e-06,9.653568267822266e-06,3.9966106414794934e-05,0.0001101565361022949,0.0002301216125488281,0.00045001506805419933,0.0010711026191711425,0.0024003171920776367
quicksort_insert,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
quicksort_med3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
